Dense Human Habitat,Human Agriculture,Forests,Grass and Shrublands,"Rocky, Barren, or Snowy",Wetlands,Water Bodies
45,2592,284,72,26,686,91
59,2543,297,86,28,697,98
41,2590,264,79,26,709,88
44,2659,269,83,27,652,76
63,2565,299,66,22,710,79
57,2576,271,73,22,721,73
56,2571,274,75,31,709,77
58,2587,281,79,25,677,83
63,2557,288,80,32,691,93
45,2616,283,65,15,698,85
55,2555,284,72,18,736,83
50,2632,269,81,20,652,87
54,2630,245,74,28,687,80
53,2571,269,78,19,729,82
59,2583,282,79,19,699,77
60,2599,275,72,21,694,78
50,2630,294,71,24,662,69
49,2601,271,73,22,705,71
62,2519,316,84,20,697,88
50,2586,290,75,23,698,75
51,2577,285,76,22,708,86
57,2584,299,81,23,670,82
51,2589,259,67,22,728,85
64,2571,269,82,21,706,74
45,2623,253,83,35,692,67
54,2640,261,78,22,667,78
47,2611,280,76,26,679,77
57,2595,305,76,28,648,91
47,2598,289,84,26,665,87
52,2626,289,88,12,649,82
58,2587,263,84,17,713,83
60,2586,306,89,26,664,73
53,2566,303,85,26,690,75
57,2622,281,75,19,676,63
49,2542,298,80,23,738,67
49,2574,272,71,31,709,85
52,2604,297,84,23,679,74
50,2621,248,80,32,680,94
49,2590,273,87,35,679,93
58,2636,266,80,21,656,82
46,2603,284,74,22,698,78
38,2602,268,81,27,716,73
44,2581,283,81,18,717,69
58,2591,296,85,19,665,91
59,2581,277,77,27,698,75
65,2574,294,84,31,641,106
47,2617,285,79,26,671,75
45,2558,265,105,24,702,97
52,2578,275,80,26,692,85
66,2600,265,95,27,673,76
56,2588,281,64,11,717,73
56,2600,289,56,21,697,70
55,2552,282,85,23,708,90
53,2586,295,71,27,692,88
65,2607,271,79,16,687,69
51,2571,293,83,29,701,70
56,2655,298,63,28,635,66
52,2612,281,93,27,662,67
47,2602,308,79,17,671,75
49,2551,327,90,17,691,70
46,2637,308,62,21,670,58
49,2631,261,82,28,681,73
43,2604,292,102,20,661,73
67,2569,300,91,24,665,82
62,2590,310,60,18,674,84
53,2625,271,82,33,653,74
62,2639,285,79,21,649,68
45,2642,268,72,22,671,80
62,2622,279,67,22,663,89
54,2601,269,72,27,689,83
49,2612,282,81,25,676,76
47,2623,286,54,23,692,73
52,2598,296,75,30,674,71
65,2541,298,90,18,709,78
